id;título;materia;periodicidad;modified;geo;territorial;por qué;temporal;por qué;vivo;api;tag swagger;formatos;palabras inversión;abierto;explorable;candidato
1340;Presupuesto Municipal 2015;Hacienda;P1Y;-;N;no;;sí;periodicidad P1Y, palabra:2015;no evaluable (sin modified);no;;json ms-excel text/csv;presupuest;sí;no;no
1120;Clima del termino municipal de Zaragoza;Medio Ambiente;-;-;N;no;;sí;palabra:serie;no evaluable (sin modified);no;;ms-excel text/csv;;sí;no;no
1202;Datos económicos, sociales y medioambientales de las empresas que se incuban en  CIEM Zaragoza y CIEM Torre Delicias;Ciencia y Tecnología;P1Y;-;N;no;;sí;periodicidad P1Y, palabra:serie;no evaluable (sin modified);no;;ms-excel text/csv;;sí;no;no
336;Ejecución Presupuestaria;Hacienda;P1M;2021-04-12;N;no;;sí;periodicidad P1M, palabra:trimestr;no (ratio 65,7);sí;Ayuntamiento: Presupuestos;api;ejecución gasto ingreso presupuest;sí;no;no
1062;Servicio de Quejas y Sugerencias;Sector Público;P0DT1S;2022-06-16;S;sí;geo=S;sí;tiempo real;no evaluable (tiempo real);sí;Gobierno Abierto: Solicitudes de Información Pública y Quejas - sugerencias;api;infraestructura;sí;sí;no
1300;Adopción de Animales;Medio Ambiente;P0DT1S;2015-03-18;N;no;;sí;tiempo real;no evaluable (tiempo real);sí;Adopción de animales;api;;sí;no;no
1680;Agenda Institucional;Sector Público;P0DT1S;2017-05-25;N;no;;sí;tiempo real;no evaluable (tiempo real);sí;Ayuntamiento de Zaragoza: Agenda institucional;api;;sí;sí;no
1700;Bienes Inmuebles;Sector Público;P1Y;2017-05-25;N;no;;sí;periodicidad P1Y;no (ratio 9,3);sí;Ayuntamiento: Bienes inmuebles;api;patrimonio;sí;no;no
1821;Servicios de Bomberos;Seguridad;P0DT1S;2017-05-30;N;no;;sí;tiempo real;no evaluable (tiempo real);sí;Ayuntamiento: Servicios de bomberos;api;;sí;no;no
1140;Ayudas y Subvenciones para el Sector Cultural;Cultura y Ocio;-;-;N;no;;no;;no evaluable (sin modified);no;;ms-excel;subvenci;sí;no;no
1160;Plantilla Municipal;Sector Público;P1Y;2020-06-12;N;no;;sí;periodicidad P1Y;no (ratio 6,2);no;;oasis.opendocument.spreadsheet;contrat;sí;sí;no
1161;Relación de Puestos de Trabajo RPT;Sector Público;P1Y;2024-10-18;N;no;;sí;periodicidad P1Y, palabra:mensual;sí (ratio 1,9);no;;ms-excel oasis.opendocument.spreadsheet;;sí;no;no
1620;Renta neta media y niveles de formación en los distritos municipales de Zaragoza;Sociedad y Bienestar;-;2017-10-19;S;sí;geo=S, palabra:distrito;no;;no (3243 d, sin periodicidad);no;;json ms-excel;;sí;no;no
1400;Ayudas y Subvenciones;Economía;-;-;N;no;;no;;no evaluable (sin modified);sí;Ayuntamiento: Ayudas y Subvenciones;api;convenio subvenci;sí;no;no
1540;Presupuesto Municipal 2016;Hacienda;P1Y;-;N;no;;sí;periodicidad P1Y, palabra:2016;no evaluable (sin modified);no;;json;ejecución gasto ingreso presupuest;sí;no;no
1741;Noticias;Sector Público;P0DT1S;2017-05-26;N;no;;sí;tiempo real;no evaluable (tiempo real);sí;Ayuntamiento: Noticias;api rss+xml solr;;sí;no;no
